Length,Trial,Runtime
10,4,1.5657701670006645
10,5,1.5666429590000917
10,6,1.5718430010001612
10,7,1.6309493329999896
10,8,1.598617209000622
10,9,1.626587083999766
10,10,1.55655975100035
10,11,1.558524834000309
10,12,1.553222459000608
10,13,1.6746167510000305
10,14,1.5632138339997255
10,15,1.5599961249999978
10,16,1.5538733760004106
10,17,1.5692203340004198
10,18,1.5447154169996793
10,19,1.5652264999998806
10,20,1.568880041999364
10,21,1.5493654169995352
10,22,1.543358292999983
10,23,1.5520306260004872
10,24,1.5562178339996535
10,25,1.5576773340008003
10,26,1.5534915420003017
10,27,1.594119125999896
10,28,1.5482000839992907
10,29,1.5502893749999203
10,30,1.5568152510004438
